experiment_id,model_name,chunk_size,prompt_type,example_num,transformation_method,match_results_initial_exact,match_results_mapped_exact,match_results_cleaned_exact,match_results_initial_substring,match_results_mapped_substring,match_results_cleaned_substring,match_results_initial_fuzzy,match_results_mapped_fuzzy,match_results_cleaned_fuzzy,f1_initial_exact,f1_mapped_exact,f1_cleaned_exact,f1_initial_substring,f1_mapped_substring,f1_cleaned_substring,f1_initial_fuzzy,f1_mapped_fuzzy,f1_cleaned_fuzzy,level_type,chunk_size_category
0,gpt-4o,2958,no_schema,,layout-aware,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.669154328398026,0.669154328398026,0.746858743497399,0.6896025076697347,0.6896025076697347,0.7603307989862612,0.75027027027027,0.75027027027027,0.7958333333333332,STL,max
1,gpt-4o,2958,no_schema,,naive,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.6727957849806591,0.6727957849806591,0.7502667733760171,0.6932439642523678,0.6932439642523678,0.7637388288648794,0.7543103448275861,0.7543103448275861,0.7983367983367978,STL,max
2,gpt-4o,2958,no_schema,,layout-aware,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.6679538482059492,0.6679538482059492,0.7480258770174738,0.6884020274776579,0.6884020274776579,0.761497932506336,0.75027027027027,0.75027027027027,0.7970863683662848,UTL,max
3,gpt-4o,2958,no_schema,,naive,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.6705548886221157,0.6705548886221157,0.7471388555422169,0.6910030678938244,0.6910030678938244,0.7606109110310791,0.7516198704103674,0.7516198704103674,0.7970863683662848,UTL,max
4,gpt-4o,1383,no_schema,,layout-aware,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.6663131919434442,0.6663131919434442,0.7456849406429239,0.6890022675736962,0.6890022675736962,0.7602774443110578,0.7516198704103674,0.7516198704103674,0.7970863683662848,STL,medium
5,gpt-4o,1383,no_schema,,naive,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.6681139122315595,0.6681139122315595,0.7457849806589303,0.6908029878618116,0.6908029878618116,0.7603774843270642,0.7529665587918011,0.7529665587918011,0.7970863683662848,STL,medium
6,gpt-4o,1383,no_schema,,layout-aware,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.6679538482059492,0.6679538482059492,0.7482259570494865,0.691843404028278,0.691843404028278,0.7651393890889691,0.7516198704103674,0.7516198704103674,0.7983367983367978,UTL,medium
7,gpt-4o,1383,no_schema,,naive,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.6663131919434442,0.6663131919434442,0.7431639322395626,0.6890022675736962,0.6890022675736962,0.7577564359076965,0.7516198704103674,0.7516198704103674,0.7958333333333332,UTL,medium
8,gpt-4o,595,no_schema,,layout-aware,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.519814592503668,0.519814592503668,0.5932106175803655,0.7050553554755237,0.7050553554755237,0.7696611978124585,0.7184035476718406,0.7184035476718406,0.7556512378902045,STL,small
9,gpt-4o,595,no_schema,,naive,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.5246165132719753,0.5246165132719753,0.5967120181405896,0.7022542350273443,0.7022542350273443,0.7646191810057357,0.7184035476718406,0.7184035476718406,0.7543103448275861,STL,small
