experiment_id,model_name,chunk_size,prompt_type,example_num,transformation_method,match_results_initial_exact,match_results_mapped_exact,match_results_cleaned_exact,match_results_initial_substring,match_results_mapped_substring,match_results_cleaned_substring,match_results_initial_fuzzy,match_results_mapped_fuzzy,match_results_cleaned_fuzzy,f1_initial_exact,f1_mapped_exact,f1_cleaned_exact,f1_initial_substring,f1_mapped_substring,f1_cleaned_substring,f1_initial_fuzzy,f1_mapped_fuzzy,f1_cleaned_fuzzy,level_type,chunk_size_category
0,gpt-4o,2958,no_schema,,layout-aware,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}",0.6503601440576232,0.6503601440576232,0.7347872482326264,0.678451380552221,0.678451380552221,0.7545751633986929,0.7268722466960349,0.7268722466960349,0.7793030623020063,STL,max
1,gpt-4o,2958,no_schema,,naive,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}",0.6515606242497001,0.6515606242497001,0.7359076964118982,0.6810524209683876,0.6810524209683876,0.7568160597572364,0.7282728272827279,0.7282728272827279,0.7793030623020063,STL,max
2,gpt-4o,2958,no_schema,,layout-aware,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}",0.651840736294518,0.651840736294518,0.7319861277844473,0.6799319727891157,0.6799319727891157,0.7517740429505138,0.7268722466960349,0.7268722466960349,0.7767195767195765,UTL,max
3,gpt-4o,2958,no_schema,,naive,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}",0.6499599839935974,0.6499599839935974,0.734106976123783,0.6798519407763106,0.6798519407763106,0.7556956115779646,0.7268722466960349,0.7268722466960349,0.7780126849894295,UTL,max
4,gpt-4o,1383,no_schema,,layout-aware,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}",0.6503601440576232,0.6503601440576232,0.7359076964118982,0.6798519407763106,0.6798519407763106,0.7568160597572364,0.7282728272827279,0.7282728272827279,0.7805907172995779,STL,medium
5,gpt-4o,1383,no_schema,,naive,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}",0.6500600240096039,0.6500600240096039,0.7344070961718021,0.6798852874483128,0.6798852874483128,0.7556489262371617,0.7296703296703297,0.7296703296703297,0.7805907172995779,STL,medium
6,gpt-4o,1383,no_schema,,layout-aware,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}",0.6529611844737896,0.6529611844737896,0.7373082566359878,0.6810524209683875,0.6810524209683875,0.7568160597572364,0.731064763995609,0.731064763995609,0.7818756585879876,UTL,medium
7,gpt-4o,1383,no_schema,,naive,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}",0.6500400160064026,0.6500400160064026,0.7318660797652395,0.6799319727891157,0.6799319727891157,0.7531746031746033,0.7282728272827279,0.7282728272827279,0.7780126849894295,UTL,medium
8,gpt-4o,595,no_schema,,layout-aware,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}",0.5247699079631851,0.5247699079631851,0.5939575830332134,0.685841003067894,0.685841003067894,0.7596371882086168,0.6996625421822272,0.6996625421822272,0.7462039045553144,STL,small
9,gpt-4o,595,no_schema,,naive,"{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 0}","{'registrant_name': 0, 'registration_num': 1}",0.5209283713485393,0.5209283713485393,0.5947178871548621,0.6886421235160732,0.6886421235160732,0.7658796852074164,0.6981981981981983,0.6981981981981983,0.7475622968580719,STL,small
