experiment_id,sample_size,prompt_type,chunk_size_category,no_schema,example_num,transformation_method,chunking_method,level_type
0,40,no_schema,max,True,,layout-aware,fixed,STL
1,40,no_schema,max,True,,naive,fixed,STL
2,40,no_schema,max,True,,layout-aware,fixed,UTL
3,40,no_schema,max,True,,naive,fixed,UTL
4,40,no_schema,medium,True,,layout-aware,fixed,STL
5,40,no_schema,medium,True,,naive,fixed,STL
6,40,no_schema,medium,True,,layout-aware,fixed,UTL
7,40,no_schema,medium,True,,naive,fixed,UTL
8,40,no_schema,small,True,,layout-aware,fixed,STL
9,40,no_schema,small,True,,naive,fixed,STL
10,40,no_schema,small,True,,layout-aware,fixed,UTL
11,40,no_schema,small,True,,naive,fixed,UTL
12,40,few_shot,max,False,0.0,layout-aware,fixed,STL
13,40,few_shot,max,False,0.0,naive,fixed,STL
14,40,few_shot,max,False,1.0,layout-aware,fixed,STL
15,40,few_shot,max,False,1.0,naive,fixed,STL
16,40,few_shot,max,False,3.0,layout-aware,fixed,STL
17,40,few_shot,max,False,3.0,naive,fixed,STL
18,40,few_shot,max,False,5.0,layout-aware,fixed,STL
19,40,few_shot,max,False,5.0,naive,fixed,STL
20,40,few_shot,max,False,0.0,layout-aware,fixed,UTL
21,40,few_shot,max,False,0.0,naive,fixed,UTL
22,40,few_shot,max,False,1.0,layout-aware,fixed,UTL
23,40,few_shot,max,False,1.0,naive,fixed,UTL
24,40,few_shot,max,False,3.0,layout-aware,fixed,UTL
25,40,few_shot,max,False,3.0,naive,fixed,UTL
26,40,few_shot,max,False,5.0,layout-aware,fixed,UTL
27,40,few_shot,max,False,5.0,naive,fixed,UTL
28,40,few_shot,medium,False,0.0,layout-aware,fixed,STL
29,40,few_shot,medium,False,0.0,naive,fixed,STL
30,40,few_shot,medium,False,1.0,layout-aware,fixed,STL
31,40,few_shot,medium,False,1.0,naive,fixed,STL
32,40,few_shot,medium,False,3.0,layout-aware,fixed,STL
33,40,few_shot,medium,False,3.0,naive,fixed,STL
34,40,few_shot,medium,False,5.0,layout-aware,fixed,STL
35,40,few_shot,medium,False,5.0,naive,fixed,STL
36,40,few_shot,medium,False,0.0,layout-aware,fixed,UTL
37,40,few_shot,medium,False,0.0,naive,fixed,UTL
38,40,few_shot,medium,False,1.0,layout-aware,fixed,UTL
39,40,few_shot,medium,False,1.0,naive,fixed,UTL
40,40,few_shot,medium,False,3.0,layout-aware,fixed,UTL
41,40,few_shot,medium,False,3.0,naive,fixed,UTL
42,40,few_shot,medium,False,5.0,layout-aware,fixed,UTL
43,40,few_shot,medium,False,5.0,naive,fixed,UTL
44,40,few_shot,small,False,0.0,layout-aware,fixed,STL
45,40,few_shot,small,False,0.0,naive,fixed,STL
46,40,few_shot,small,False,1.0,layout-aware,fixed,STL
47,40,few_shot,small,False,1.0,naive,fixed,STL
48,40,few_shot,small,False,3.0,layout-aware,fixed,STL
49,40,few_shot,small,False,3.0,naive,fixed,STL
50,40,few_shot,small,False,5.0,layout-aware,fixed,STL
51,40,few_shot,small,False,5.0,naive,fixed,STL
52,40,few_shot,small,False,0.0,layout-aware,fixed,UTL
53,40,few_shot,small,False,0.0,naive,fixed,UTL
54,40,few_shot,small,False,1.0,layout-aware,fixed,UTL
55,40,few_shot,small,False,1.0,naive,fixed,UTL
56,40,few_shot,small,False,3.0,layout-aware,fixed,UTL
57,40,few_shot,small,False,3.0,naive,fixed,UTL
58,40,few_shot,small,False,5.0,layout-aware,fixed,UTL
59,40,few_shot,small,False,5.0,naive,fixed,UTL
60,40,chain_of_thought,max,False,0.0,layout-aware,fixed,STL
61,40,chain_of_thought,max,False,0.0,naive,fixed,STL
62,40,chain_of_thought,max,False,1.0,layout-aware,fixed,STL
63,40,chain_of_thought,max,False,1.0,naive,fixed,STL
64,40,chain_of_thought,max,False,3.0,layout-aware,fixed,STL
65,40,chain_of_thought,max,False,3.0,naive,fixed,STL
66,40,chain_of_thought,max,False,5.0,layout-aware,fixed,STL
67,40,chain_of_thought,max,False,5.0,naive,fixed,STL
68,40,chain_of_thought,max,False,0.0,layout-aware,fixed,UTL
69,40,chain_of_thought,max,False,0.0,naive,fixed,UTL
70,40,chain_of_thought,max,False,1.0,layout-aware,fixed,UTL
71,40,chain_of_thought,max,False,1.0,naive,fixed,UTL
72,40,chain_of_thought,max,False,3.0,layout-aware,fixed,UTL
73,40,chain_of_thought,max,False,3.0,naive,fixed,UTL
74,40,chain_of_thought,max,False,5.0,layout-aware,fixed,UTL
75,40,chain_of_thought,max,False,5.0,naive,fixed,UTL
76,40,chain_of_thought,medium,False,0.0,layout-aware,fixed,STL
77,40,chain_of_thought,medium,False,0.0,naive,fixed,STL
78,40,chain_of_thought,medium,False,1.0,layout-aware,fixed,STL
79,40,chain_of_thought,medium,False,1.0,naive,fixed,STL
80,40,chain_of_thought,medium,False,3.0,layout-aware,fixed,STL
81,40,chain_of_thought,medium,False,3.0,naive,fixed,STL
82,40,chain_of_thought,medium,False,5.0,layout-aware,fixed,STL
83,40,chain_of_thought,medium,False,5.0,naive,fixed,STL
84,40,chain_of_thought,medium,False,0.0,layout-aware,fixed,UTL
85,40,chain_of_thought,medium,False,0.0,naive,fixed,UTL
86,40,chain_of_thought,medium,False,1.0,layout-aware,fixed,UTL
87,40,chain_of_thought,medium,False,1.0,naive,fixed,UTL
